Date,High,Low,Open,Close,Volume,Adj Close
2016-07-18,232.0,220.0,220.0,224.0,10700.0,224.0
2016-07-19,228.0,216.0,224.0,220.0,5900.0,220.0
2016-07-20,220.0,208.0,220.0,212.0,9900.0,212.0
2016-07-21,220.0,208.0,212.0,208.0,8300.0,208.0
2016-07-22,208.0,180.0,204.0,204.0,10600.0,204.0
2016-07-25,232.0,192.0,196.0,220.0,26900.0,220.0
2016-07-26,224.0,208.0,220.0,212.0,6600.0,212.0
2016-07-27,224.0,216.0,220.0,216.0,5400.0,216.0
2016-07-28,220.0,208.0,220.0,212.0,6400.0,212.0
2016-07-29,216.0,200.0,212.0,212.0,5200.0,212.0
2016-08-01,220.0,208.0,220.0,208.0,4800.0,208.0
2016-08-02,220.0,212.0,220.0,212.0,5600.0,212.0
2016-08-03,268.0,212.0,216.0,264.0,47600.0,264.0
2016-08-04,316.0,260.0,276.0,272.0,79800.0,272.0
2016-08-05,296.0,272.0,284.0,280.0,19200.0,280.0
2016-08-08,324.0,292.0,308.0,320.0,31900.0,320.0
2016-08-09,320.0,292.0,320.0,300.0,35100.0,300.0
2016-08-10,244.0,204.0,212.0,204.0,49800.0,204.0
2016-08-11,236.0,208.0,216.0,224.0,27400.0,224.0
2016-08-12,232.0,212.0,228.0,216.0,10700.0,216.0
2016-08-15,224.0,212.0,216.0,216.0,9700.0,216.0
2016-08-16,224.0,212.0,212.0,212.0,9200.0,212.0
2016-08-17,220.0,212.0,216.0,220.0,5800.0,220.0
2016-08-18,224.0,212.0,220.0,216.0,4600.0,216.0
2016-08-19,220.0,212.0,220.0,212.0,5900.0,212.0
2016-08-22,220.0,208.0,220.0,212.0,3800.0,212.0
2016-08-23,216.0,208.0,216.0,212.0,4000.0,212.0
2016-08-24,212.0,208.0,212.0,212.0,5400.0,212.0
2016-08-25,212.0,200.0,212.0,204.0,5100.0,204.0
2016-08-26,208.0,204.0,208.0,204.0,2700.0,204.0
2016-08-29,236.0,208.0,212.0,236.0,16700.0,236.0
2016-08-30,240.0,212.0,236.0,228.0,23700.0,228.0
2016-08-31,236.0,220.0,228.0,236.0,8000.0,236.0
2016-09-01,232.0,224.0,228.0,228.0,4200.0,228.0
2016-09-02,240.0,224.0,224.0,228.0,11700.0,228.0
2016-09-06,244.0,228.0,232.0,236.0,10100.0,236.0
2016-09-07,320.0,268.0,288.0,280.0,110700.0,280.0
2016-09-08,216.0,196.0,212.0,200.0,106000.0,200.0
2016-09-09,204.0,188.0,204.0,196.0,37200.0,196.0
2016-09-12,200.0,184.0,200.0,188.0,25800.0,188.0
2016-09-13,200.0,184.0,196.0,196.0,27000.0,196.0
2016-09-14,200.0,188.0,200.0,192.0,11100.0,192.0
2016-09-15,192.0,188.0,188.0,188.0,11100.0,188.0
2016-09-16,188.0,176.0,184.0,184.0,18800.0,184.0
2016-09-19,184.0,172.0,184.0,184.0,22000.0,184.0
2016-09-20,200.0,184.0,188.0,196.0,40700.0,196.0
2016-09-21,200.0,188.0,196.0,196.0,22200.0,196.0
2016-09-22,196.0,192.0,196.0,192.0,13200.0,192.0
2016-09-23,200.0,192.0,196.0,192.0,19500.0,192.0
2016-09-26,196.0,192.0,196.0,196.0,18400.0,196.0
2016-09-27,196.0,192.0,196.0,192.0,16200.0,192.0
2016-09-28,208.0,188.0,192.0,192.0,30800.0,192.0
2016-09-29,200.0,188.0,192.0,196.0,10100.0,196.0
2016-09-30,196.0,192.0,196.0,192.0,10600.0,192.0
2016-10-03,196.0,188.0,188.0,192.0,16200.0,192.0
2016-10-04,192.0,188.0,192.0,188.0,12300.0,188.0
2016-10-05,196.0,184.0,188.0,192.0,28100.0,192.0
2016-10-06,196.0,188.0,192.0,192.0,20600.0,192.0
2016-10-07,192.0,184.0,192.0,188.0,14600.0,188.0
2016-10-10,188.0,144.0,184.0,184.0,28100.0,184.0
2016-10-11,192.0,172.0,192.0,184.0,26600.0,184.0
2016-10-12,184.0,168.0,184.0,172.0,15700.0,172.0
2016-10-13,172.0,160.0,172.0,160.0,11700.0,160.0
2016-10-14,164.0,144.0,164.0,156.0,19500.0,156.0
2016-10-17,164.0,152.0,160.0,160.0,6100.0,160.0
2016-10-18,168.0,160.0,164.0,164.0,7200.0,164.0
2016-10-19,188.0,160.0,164.0,176.0,32000.0,176.0
2016-10-20,184.0,168.0,180.0,172.0,9000.0,172.0
2016-10-21,172.0,156.0,160.0,168.0,8600.0,168.0
2016-10-24,180.0,168.0,168.0,172.0,7500.0,172.0
2016-10-25,176.0,160.0,176.0,164.0,7500.0,164.0
2016-10-26,168.0,156.0,164.0,164.0,7400.0,164.0
2016-10-27,164.0,160.0,164.0,160.0,3600.0,160.0
2016-10-28,172.0,160.0,160.0,160.0,10700.0,160.0
2016-10-31,164.0,152.0,164.0,156.0,8000.0,156.0
2016-11-01,160.0,144.0,156.0,148.0,9600.0,148.0
2016-11-02,156.0,140.0,156.0,144.0,7600.0,144.0
2016-11-03,144.0,124.0,144.0,140.0,11900.0,140.0
2016-11-04,152.0,128.0,128.0,144.0,13000.0,144.0
2016-11-07,160.0,144.0,160.0,148.0,8300.0,148.0
2016-11-08,152.0,136.0,148.0,140.0,7500.0,140.0
2016-11-09,144.0,128.0,132.0,140.0,6200.0,140.0
2016-11-10,160.0,148.0,152.0,160.0,16900.0,160.0
2016-11-11,164.0,152.0,160.0,156.0,8600.0,156.0
2016-11-14,180.0,152.0,176.0,156.0,31500.0,156.0
2016-11-15,148.0,132.0,144.0,140.0,21800.0,140.0
2016-11-16,144.0,136.0,140.0,136.0,13400.0,136.0
2016-11-17,140.0,132.0,136.0,136.0,6500.0,136.0
2016-11-18,136.0,120.0,136.0,124.0,17600.0,124.0
2016-11-21,128.0,120.0,120.0,124.0,5700.0,124.0
2016-11-22,136.0,124.0,128.0,124.0,13000.0,124.0
2016-11-23,140.0,120.0,124.0,136.0,32000.0,136.0
2016-11-25,140.0,128.0,140.0,132.0,7500.0,132.0
2016-11-28,132.0,124.0,132.0,128.0,7000.0,128.0
2016-11-29,136.0,124.0,128.0,132.0,14000.0,132.0
2016-11-30,136.0,128.0,136.0,132.0,9100.0,132.0
2016-12-01,136.0,124.0,128.0,124.0,10600.0,124.0
2016-12-02,128.0,124.0,128.0,124.0,9800.0,124.0
2016-12-05,132.0,124.0,128.0,128.0,10200.0,128.0
2016-12-06,128.0,120.0,124.0,124.0,7800.0,124.0
2016-12-07,128.0,116.0,124.0,124.0,8500.0,124.0
2016-12-08,124.0,108.0,124.0,116.0,19400.0,116.0
2016-12-09,120.0,104.0,120.0,108.0,11100.0,108.0
2016-12-12,108.0,88.0,108.0,92.0,21700.0,92.0
2016-12-13,96.0,88.0,96.0,96.0,8100.0,96.0
2016-12-14,96.0,88.0,96.0,92.0,10900.0,92.0
2016-12-15,96.0,88.0,88.0,92.0,7800.0,92.0
2016-12-16,96.0,88.0,92.0,92.0,4700.0,92.0
2016-12-19,96.0,88.0,92.0,88.0,9700.0,88.0
2016-12-20,88.0,84.0,88.0,84.0,6900.0,84.0
2016-12-21,84.0,76.0,84.0,80.0,8600.0,80.0
2016-12-22,80.0,72.0,80.0,76.0,7900.0,76.0
2016-12-23,76.0,72.0,76.0,72.0,7500.0,72.0
2016-12-27,84.0,72.0,72.0,80.0,11900.0,80.0
2016-12-28,88.0,80.0,88.0,84.0,14100.0,84.0
2016-12-29,84.0,76.0,84.0,80.0,7700.0,80.0
2016-12-30,76.0,68.0,72.0,68.0,16900.0,68.0
2017-01-03,68.0,64.0,68.0,68.0,10500.0,68.0
2017-01-04,80.0,68.0,68.0,76.0,24800.0,76.0
2017-01-05,88.0,72.0,84.0,76.0,20000.0,76.0
2017-01-06,107.0,64.0,72.0,81.0,155500.0,81.0
2017-01-09,95.4000015258789,76.4000015258789,95.4000015258789,81.80000305175781,76100.0,81.80000305175781
2017-01-10,79.0,72.4000015258789,78.5999984741211,75.0,50400.0,75.0
2017-01-11,94.80000305175781,74.19999694824219,75.0,78.5999984741211,190300.0,78.5999984741211
2017-01-12,82.0,76.19999694824219,81.80000305175781,77.19999694824219,58300.0,77.19999694824219
2017-01-13,79.4000015258789,74.4000015258789,79.0,74.4000015258789,38900.0,74.4000015258789
2017-01-17,99.5999984741211,76.0,95.0,76.80000305175781,372500.0,76.80000305175781
2017-01-18,78.80000305175781,71.80000305175781,77.19999694824219,75.0,52800.0,75.0
2017-01-19,74.5999984741211,70.0,74.0,70.5999984741211,26500.0,70.5999984741211
2017-01-20,70.80000305175781,66.19999694824219,69.5999984741211,66.5999984741211,28900.0,66.5999984741211
2017-01-23,71.0,56.79999923706055,67.19999694824219,62.20000076293945,87200.0,62.20000076293945
2017-01-24,64.0,59.20000076293945,63.0,61.0,33500.0,61.0
2017-01-25,65.0,59.400001525878906,64.19999694824219,61.400001525878906,31200.0,61.400001525878906
2017-01-26,61.20000076293945,54.0,60.599998474121094,54.20000076293945,48600.0,54.20000076293945
2017-01-27,58.79999923706055,54.0,54.20000076293945,57.400001525878906,31700.0,57.400001525878906
2017-01-30,61.599998474121094,56.0,57.0,59.400001525878906,29700.0,59.400001525878906
2017-01-31,62.400001525878906,59.20000076293945,59.400001525878906,60.0,36600.0,60.0
2017-02-01,60.0,57.0,59.79999923706055,57.20000076293945,24000.0,57.20000076293945
2017-02-02,65.4000015258789,55.599998474121094,57.0,65.4000015258789,73800.0,65.4000015258789
2017-02-03,64.0,58.400001525878906,64.0,59.400001525878906,42600.0,59.400001525878906
2017-02-06,59.400001525878906,57.20000076293945,59.0,58.400001525878906,12300.0,58.400001525878906
